Anaheim Ducks,Arizona Coyotes,Boston Bruins,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Chicago Blackhawks,Colorado Avalanche,Columbus Blue Jackets,Dallas Stars,Detroit Red Wings,Edmonton Oilers,Florida Panthers,Los Angeles Kings,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New York Islanders,New York Rangers,Ottawa Senators,Philadelphia Flyers,Pittsburgh Penguins,San Jose Sharks,St. Louis Blues,Tampa Bay Lightning,Toronto Maple Leafs,Vancouver Canucks,Vegas Golden Knights,Washington Capitals,Winnipeg Jets,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,8/10/2014
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,NA,0,0,9/10/2014
0,0,2,0,2,0,2,0,2,1,2,0,1,0,2,4,2,2,0,2,0,0,2,2,0,2,0,2,NA,1,2,10/10/2014
0,0,2,0,2,0,2,0,2,1,2,0,1,0,2,4,2,2,2,2,0,0,2,2,0,2,0,2,NA,1,2,11/10/2014
2,2,2,0,2,0,4,0,4,1,2,1,1,1,4,6,4,4,4,2,2,1,4,4,2,3,0,4,NA,3,2,12/10/2014
2,2,2,0,2,0,4,0,4,1,2,1,1,3,4,6,4,4,4,2,2,1,4,4,2,3,2,4,NA,3,2,13/10/2014
4,2,2,0,2,0,4,2,4,1,2,1,1,3,4,6,4,4,4,2,4,1,4,4,2,5,2,4,NA,3,2,14/10/2014
6,2,2,2,4,1,4,3,4,3,2,1,1,5,4,6,5,6,6,2,4,2,4,6,2,5,4,4,NA,4,2,15/10/2014
6,4,4,2,6,1,5,3,4,3,3,1,1,5,4,6,5,6,6,2,4,2,4,6,2,5,4,4,NA,4,2,16/10/2014
6,4,4,2,6,2,5,3,4,5,3,1,1,7,4,8,5,6,8,4,6,2,4,7,3,5,4,4,NA,6,2,17/10/2014
8,4,4,2,6,2,5,3,6,5,5,1,3,7,4,8,7,6,8,4,6,2,4,7,3,5,4,6,NA,6,2,18/10/2014
8,4,6,2,6,2,7,3,6,6,7,1,4,7,4,10,8,6,8,4,8,4,6,9,5,7,5,6,NA,8,2,19/10/2014
10,4,6,2,8,2,7,3,6,6,7,1,4,9,4,10,8,6,8,6,8,4,6,9,5,7,5,6,NA,8,2,20/10/2014
10,4,6,2,8,2,7,3,6,6,7,3,4,9,4,10,8,6,8,6,8,4,6,9,5,7,5,6,NA,8,2,21/10/2014
10,5,8,2,9,2,9,4,6,8,8,3,6,9,4,12,10,7,8,8,8,4,6,9,5,9,7,6,NA,8,4,22/10/2014
12,5,8,2,9,2,9,4,6,8,8,5,6,9,4,12,10,7,8,8,8,6,6,9,5,9,7,6,NA,8,4,23/10/2014
12,5,8,2,11,2,9,4,8,8,10,5,6,11,6,12,12,7,10,8,8,6,7,9,5,9,7,8,NA,8,4,24/10/2014
14,5,8,2,11,2,9,6,8,10,10,7,6,11,6,12,12,8,10,8,8,6,7,9,5,11,7,8,NA,8,4,25/10/2014
14,7,10,4,11,2,9,6,8,10,10,7,7,11,8,14,12,10,12,8,9,8,9,9,7,11,7,8,NA,10,4,26/10/2014
14,7,10,4,11,2,11,7,8,10,10,7,7,13,8,14,12,10,12,8,9,8,9,11,7,11,7,10,NA,10,6,27/10/2014
14,7,10,4,11,2,11,7,8,10,10,9,7,13,8,14,12,10,12,10,9,8,9,11,7,11,7,10,NA,10,6,28/10/2014
16,7,10,4,12,2,11,8,8,11,10,9,7,14,10,16,12,10,12,10,11,10,11,13,9,13,9,12,NA,10,8,29/10/2014
16,7,10,4,12,2,11,8,8,11,12,9,7,14,10,16,14,10,12,10,11,10,11,13,9,13,9,12,NA,10,8,30/10/2014
16,7,12,5,12,2,13,10,8,11,12,9,9,14,12,17,14,12,12,10,12,10,13,14,11,15,9,14,NA,10,9,31/10/2014
