date,season,away_team.x,away_goals,home_team,home_goals,extra_time,attendance,winner,game_status,home_odds,tie_odds,away_odds,location_lon,location_lat,label_content
2/10/2018,2018/2019,Aheim Ducks,5,San Jose Sharks,2,Normal Time,17562,Aheim Ducks,Played,1.9,4.35,3.6,-121.901304,37.332713,San Jose Sharks vs Aheim Ducks | Score: 2 - 5 Normal Time | Winner is Aheim Ducks
2/10/2018,2018/2019,Boston Bruins,0,Washington Capitals,7,Normal Time,18506,Washington Capitals,Played,2.43,4.2,2.65,-77.021903,38.898147,Washington Capitals vs Boston Bruins | Score: 7 - 0 Normal Time | Winner is Washington Capitals
2/10/2018,2018/2019,Montreal Cadiens,2,Toronto Maple Leafs,3,OT,19589,Toronto Maple Leafs,Played,1.66,4.75,4.6,-79.379026,43.64341,Toronto Maple Leafs vs Montreal Cadiens | Score: 3 - 2 OT | Winner is Toronto Maple Leafs
2/10/2018,2018/2019,Calgary Flames,2,Vancouver Canucks,5,Normal Time,18870,Vancouver Canucks,Played,2.9,4.2,2.2,-123.108833,49.277821,Vancouver Canucks vs Calgary Flames | Score: 5 - 2 Normal Time | Winner is Vancouver Canucks
3/10/2018,2018/2019,Arizo Coyotes,0,Dallas Stars,3,Normal Time,18532,Dallas Stars,Played,1.93,4.35,3.7,-96.810706,32.791093,Dallas Stars vs Arizo Coyotes | Score: 3 - 0 Normal Time | Winner is Dallas Stars
3/10/2018,2018/2019,Philadelphia Flyers,5,Vegas Golden Knights,2,Normal Time,18555,Philadelphia Flyers,Played,1.96,4.4,3.4,-115.178408,36.102827,Vegas Golden Knights vs Philadelphia Flyers | Score: 2 - 5 Normal Time | Winner is Philadelphia Flyers
3/10/2018,2018/2019,Winnipeg Jets,5,St. Louis Blues,1,Normal Time,18292,Winnipeg Jets,Played,2.55,4.2,2.52,-90.202834,38.626798,St. Louis Blues vs Winnipeg Jets | Score: 1 - 5 Normal Time | Winner is Winnipeg Jets
3/10/2018,2018/2019,Minnesota Wild,1,Colorado Avalanche,4,Normal Time,18086,Colorado Avalanche,Played,2.51,4.2,2.55,-105.008479,39.74822,Colorado Avalanche vs Minnesota Wild | Score: 4 - 1 Normal Time | Winner is Colorado Avalanche
3/10/2018,2018/2019,Washington Capitals,6,Pittsburgh Penguins,7,OT,18627,Pittsburgh Penguins,Played,2.05,4.4,3.24,-79.989706,40.438823,Pittsburgh Penguins vs Washington Capitals | Score: 7 - 6 OT | Winner is Pittsburgh Penguins
3/10/2018,2018/2019,shville Predators,3,New York Rangers,2,Normal Time,17117,shville Predators,Played,3.25,4.33,2.03,-73.993455,40.750478,New York Rangers vs shville Predators | Score: 2 - 3 Normal Time | Winner is shville Predators
3/10/2018,2018/2019,Columbus Blue Jackets,3,Detroit Red Wings,2,OT,19515,Columbus Blue Jackets,Played,2.92,4.25,2.17,-83.055271,42.341077,Detroit Red Wings vs Columbus Blue Jackets | Score: 2 - 3 OT | Winner is Columbus Blue Jackets
3/10/2018,2018/2019,Boston Bruins,4,Buffalo Sabres,0,Normal Time,19070,Boston Bruins,Played,2.9,4.2,2.29,-78.876395,42.874951,Buffalo Sabres vs Boston Bruins | Score: 0 - 4 Normal Time | Winner is Boston Bruins
3/10/2018,2018/2019,Chicago Blackhawks,4,Ottawa Setors,3,OT,15858,Chicago Blackhawks,Played,2.65,4.2,2.41,-75.927207,45.296899,Ottawa Setors vs Chicago Blackhawks | Score: 3 - 4 OT | Winner is Chicago Blackhawks
4/10/2018,2018/2019,San Jose Sharks,3,Los Angeles Kings,2,OT,18230,San Jose Sharks,Played,2.69,4.1,2.38,-118.267259,34.043004,Los Angeles Kings vs San Jose Sharks | Score: 2 - 3 OT | Winner is San Jose Sharks
4/10/2018,2018/2019,Caroli Hurricanes,3,Columbus Blue Jackets,1,Normal Time,18306,Caroli Hurricanes,Played,2.09,4.2,3.25,-83.006102,39.96904,Columbus Blue Jackets vs Caroli Hurricanes | Score: 1 - 3 Normal Time | Winner is Caroli Hurricanes
5/10/2018,2018/2019,Florida Panthers,1,Tampa Bay Lightning,2,SO,19092,Tampa Bay Lightning,Played,1.91,5.05,3.5,-82.451804,27.942695,Tampa Bay Lightning vs Florida Panthers | Score: 2 - 1 SO | Winner is Tampa Bay Lightning
5/10/2018,2018/2019,Winnipeg Jets,1,Dallas Stars,5,Normal Time,18131,Dallas Stars,Played,2.55,4.2,2.42,-96.810706,32.791093,Dallas Stars vs Winnipeg Jets | Score: 5 - 1 Normal Time | Winner is Dallas Stars
5/10/2018,2018/2019,Aheim Ducks,1,Arizo Coyotes,0,Normal Time,17125,Aheim Ducks,Played,2.72,4.05,2.38,-112.261173,33.532977,Arizo Coyotes vs Aheim Ducks | Score: 0 - 1 Normal Time | Winner is Aheim Ducks
5/10/2018,2018/2019,Chicago Blackhawks,5,St. Louis Blues,4,OT,17429,Chicago Blackhawks,Played,1.94,4.55,3.5,-90.202834,38.626798,St. Louis Blues vs Chicago Blackhawks | Score: 4 - 5 OT | Winner is Chicago Blackhawks
5/10/2018,2018/2019,Philadelphia Flyers,2,Colorado Avalanche,5,Normal Time,16768,Colorado Avalanche,Played,2.49,4.2,2.55,-105.008479,39.74822,Colorado Avalanche vs Philadelphia Flyers | Score: 5 - 2 Normal Time | Winner is Colorado Avalanche
5/10/2018,2018/2019,Montreal Cadiens,5,Pittsburgh Penguins,1,Normal Time,18622,Montreal Cadiens,Played,1.69,4.75,4.35,-79.989706,40.438823,Pittsburgh Penguins vs Montreal Cadiens | Score: 1 - 5 Normal Time | Winner is Montreal Cadiens
5/10/2018,2018/2019,shville Predators,4,New York Islanders,3,Normal Time,12163,shville Predators,Played,3.14,4.33,2.06,-73.975334,40.682624,New York Islanders vs shville Predators | Score: 3 - 4 Normal Time | Winner is shville Predators
5/10/2018,2018/2019,Ottawa Setors,5,Toronto Maple Leafs,3,Normal Time,19321,Ottawa Setors,Played,1.55,5,5.2,-79.379026,43.64341,Toronto Maple Leafs vs Ottawa Setors | Score: 3 - 5 Normal Time | Winner is Ottawa Setors
5/10/2018,2018/2019,Vegas Golden Knights,2,Minnesota Wild,1,SO,19077,Vegas Golden Knights,Played,2.38,4.55,2.66,-93.102168,44.944905,Minnesota Wild vs Vegas Golden Knights | Score: 1 - 2 SO | Winner is Vegas Golden Knights
5/10/2018,2018/2019,Vancouver Canucks,4,Calgary Flames,7,Normal Time,18688,Calgary Flames,Played,1.83,4.5,3.8,-114.051939,51.037398,Calgary Flames vs Vancouver Canucks | Score: 7 - 4 Normal Time | Winner is Calgary Flames
6/10/2018,2018/2019,Detroit Red Wings,2,Los Angeles Kings,4,Normal Time,18230,Los Angeles Kings,Played,1.83,4.33,3.88,-118.267259,34.043004,Los Angeles Kings vs Detroit Red Wings | Score: 4 - 2 Normal Time | Winner is Los Angeles Kings
6/10/2018,2018/2019,Toronto Maple Leafs,7,Chicago Blackhawks,6,OT,21812,Toronto Maple Leafs,Played,2.93,4.33,2.15,-87.674192,41.880666,Chicago Blackhawks vs Toronto Maple Leafs | Score: 6 - 7 OT | Winner is Toronto Maple Leafs
7/10/2018,2018/2019,Detroit Red Wings,2,Aheim Ducks,3,SO,17436,Aheim Ducks,Played,1.86,4.6,3.98,-117.876426,33.807714,Aheim Ducks vs Detroit Red Wings | Score: 3 - 2 SO | Winner is Aheim Ducks
8/10/2018,2018/2019,Toronto Maple Leafs,7,Dallas Stars,4,Normal Time,17866,Toronto Maple Leafs,Played,2.21,4.25,2.85,-96.810706,32.791093,Dallas Stars vs Toronto Maple Leafs | Score: 4 - 7 Normal Time | Winner is Toronto Maple Leafs
8/10/2018,2018/2019,Vancouver Canucks,3,Caroli Hurricanes,5,Normal Time,11932,Caroli Hurricanes,Played,1.82,4.75,3.86,-78.721967,35.803306,Caroli Hurricanes vs Vancouver Canucks | Score: 5 - 3 Normal Time | Winner is Caroli Hurricanes
8/10/2018,2018/2019,Calgary Flames,3,shville Predators,0,Normal Time,17209,Calgary Flames,Played,2,4.45,3.38,-86.778458,36.159125,shville Predators vs Calgary Flames | Score: 0 - 3 Normal Time | Winner is Calgary Flames
8/10/2018,2018/2019,San Jose Sharks,8,Philadelphia Flyers,2,Normal Time,19133,San Jose Sharks,Played,2.49,4.2,2.6,-75.171967,39.90041,Philadelphia Flyers vs San Jose Sharks | Score: 2 - 8 Normal Time | Winner is San Jose Sharks
8/10/2018,2018/2019,Colorado Avalanche,2,Columbus Blue Jackets,5,Normal Time,11694,Columbus Blue Jackets,Played,2.1,4.4,3.13,-83.006102,39.96904,Columbus Blue Jackets vs Colorado Avalanche | Score: 5 - 2 Normal Time | Winner is Columbus Blue Jackets
8/10/2018,2018/2019,Los Angeles Kings,1,Winnipeg Jets,2,Normal Time,15321,Winnipeg Jets,Played,1.87,4.85,3.66,-97.143754,49.89259,Winnipeg Jets vs Los Angeles Kings | Score: 2 - 1 Normal Time | Winner is Winnipeg Jets
9/10/2018,2018/2019,Arizo Coyotes,3,Aheim Ducks,2,SO,17015,Arizo Coyotes,Played,2.05,4.4,3.2,-117.876426,33.807714,Aheim Ducks vs Arizo Coyotes | Score: 2 - 3 SO | Winner is Arizo Coyotes
9/10/2018,2018/2019,Vegas Golden Knights,2,Washington Capitals,5,Normal Time,18506,Washington Capitals,Played,2.11,4.45,3.15,-77.021903,38.898147,Washington Capitals vs Vegas Golden Knights | Score: 5 - 2 Normal Time | Winner is Washington Capitals
9/10/2018,2018/2019,Philadelphia Flyers,7,Ottawa Setors,4,Normal Time,13215,Philadelphia Flyers,Played,2.8,4.33,2.24,-75.927207,45.296899,Ottawa Setors vs Philadelphia Flyers | Score: 4 - 7 Normal Time | Winner is Philadelphia Flyers
10/10/2018,2018/2019,Columbus Blue Jackets,5,Florida Panthers,4,Normal Time,14394,Columbus Blue Jackets,Played,2.25,4.33,2.83,-80.325378,26.158498,Florida Panthers vs Columbus Blue Jackets | Score: 4 - 5 Normal Time | Winner is Columbus Blue Jackets
10/10/2018,2018/2019,Vancouver Canucks,4,Tampa Bay Lightning,1,Normal Time,19092,Vancouver Canucks,Played,1.61,5.1,4.85,-82.451804,27.942695,Tampa Bay Lightning vs Vancouver Canucks | Score: 1 - 4 Normal Time | Winner is Vancouver Canucks
10/10/2018,2018/2019,Winnipeg Jets,0,shville Predators,3,Normal Time,17228,shville Predators,Played,2.28,4.2,2.8,-86.778458,36.159125,shville Predators vs Winnipeg Jets | Score: 3 - 0 Normal Time | Winner is shville Predators
