"","date","targetTeam","rank"
"1",2014-10-08,"Anaheim Ducks",0
"2",2014-10-09,"Anaheim Ducks",5
"3",2014-10-10,"Anaheim Ducks",19
"4",2014-10-11,"Anaheim Ducks",20
"5",2014-10-12,"Anaheim Ducks",13
"6",2014-10-13,"Anaheim Ducks",14
"7",2014-10-14,"Anaheim Ducks",3
"8",2014-10-15,"Anaheim Ducks",1
"9",2014-10-16,"Anaheim Ducks",1
"10",2014-10-17,"Anaheim Ducks",5
"11",2014-10-18,"Anaheim Ducks",1
"12",2014-10-19,"Anaheim Ducks",3
"13",2014-10-20,"Anaheim Ducks",1
"14",2014-10-21,"Anaheim Ducks",1
"15",2014-10-22,"Anaheim Ducks",2
"16",2014-10-23,"Anaheim Ducks",1
"17",2014-10-24,"Anaheim Ducks",1
"18",2014-10-25,"Anaheim Ducks",1
"19",2014-10-26,"Anaheim Ducks",1
"20",2014-10-27,"Anaheim Ducks",1
"21",2014-10-28,"Anaheim Ducks",1
"22",2014-10-29,"Anaheim Ducks",1
"23",2014-10-30,"Anaheim Ducks",1
"24",2014-10-31,"Anaheim Ducks",2
"25",2014-11-01,"Anaheim Ducks",1
"26",2014-11-02,"Anaheim Ducks",1
"27",2014-11-03,"Anaheim Ducks",1
"28",2014-11-04,"Anaheim Ducks",1
"29",2014-11-05,"Anaheim Ducks",1
"30",2014-11-06,"Anaheim Ducks",1
"31",2014-11-07,"Anaheim Ducks",1
"32",2014-11-08,"Anaheim Ducks",1
"33",2014-11-09,"Anaheim Ducks",1
"34",2014-11-10,"Anaheim Ducks",1
"35",2014-11-11,"Anaheim Ducks",1
"36",2014-11-12,"Anaheim Ducks",3
"37",2014-11-13,"Anaheim Ducks",1
"38",2014-11-14,"Anaheim Ducks",1
"39",2014-11-15,"Anaheim Ducks",1
"40",2014-11-16,"Anaheim Ducks",2
"41",2014-11-17,"Anaheim Ducks",2
"42",2014-11-18,"Anaheim Ducks",3
"43",2014-11-19,"Anaheim Ducks",3
"44",2014-11-20,"Anaheim Ducks",3
"45",2014-11-21,"Anaheim Ducks",2
"46",2014-11-22,"Anaheim Ducks",2
"47",2014-11-23,"Anaheim Ducks",3
"48",2014-11-24,"Anaheim Ducks",2
"49",2014-11-25,"Anaheim Ducks",2
"50",2014-11-26,"Anaheim Ducks",1
"51",2014-11-27,"Anaheim Ducks",1
"52",2014-11-28,"Anaheim Ducks",1
"53",2014-11-29,"Anaheim Ducks",1
"54",2014-11-30,"Anaheim Ducks",7
"55",2014-12-01,"Anaheim Ducks",7
"56",2014-12-02,"Anaheim Ducks",3
"57",2014-12-03,"Anaheim Ducks",5
"58",2014-12-04,"Anaheim Ducks",1
"59",2014-12-05,"Anaheim Ducks",3
"60",2014-12-06,"Anaheim Ducks",1
"61",2014-12-07,"Anaheim Ducks",1
"62",2014-12-08,"Anaheim Ducks",1
"63",2014-12-09,"Anaheim Ducks",1
"64",2014-12-10,"Anaheim Ducks",1
"65",2014-12-11,"Anaheim Ducks",1
"66",2014-12-12,"Anaheim Ducks",1
"67",2014-12-13,"Anaheim Ducks",1
"68",2014-12-14,"Anaheim Ducks",1
"69",2014-12-15,"Anaheim Ducks",1
"70",2014-12-16,"Anaheim Ducks",1
"71",2014-12-17,"Anaheim Ducks",1
"72",2014-12-18,"Anaheim Ducks",1
"73",2014-12-19,"Anaheim Ducks",1
