Team,City,Stadium,Latitude,Longitutde
Anaheim Ducks,Anaheim,Honda Center,33.807714,-117.876426
Arizona Coyotes,Arizona,Gila River Arena,33.532977,-112.261173
Boston Bruins,Boston,TD Garden,42.366179,-71.062106
Buffalo Sabres,Buffalo,KeyBank Centre,42.874951,-78.876395
Calgary Flames,Calgary,Scotiabank SaddleDome,51.037398,-114.051939
Carolina Hurricanes,Carolina,PNC Arena,35.803306,-78.721967
Chicago Blackhawks,Chicago,United Centre,41.880666,-87.674192
Colorado Avalanche,Colorado,Pepsi Centre,39.748220,-105.008479
Columbus Blue Jackets,Columbus Blue,Nationwide Arena,39.969040,-83.006102
Dallas Stars,Dallas,American Airlines Centre,32.791093,-96.810706
Detroit Red Wings,Detroit Red,Little Cesears Arena,42.341077,-83.055271
Edmonton Oilers,Edmonton,Rogers Place,53.546977,-113.498029
Florida Panthers,Florida,BB&T Center,26.158498,-80.325378
Los Angeles Kings,Los Angeles,Staples Centre,34.043004,-118.267259
Minnesota Wild,Minnesota,Xcel Energy Centre,44.944905,-93.102168
Montreal Canadiens,Montreal,Bell Centre,44.496067,-73.569450
Nashville Predators,Nashville,Bridgestone Arena,36.159125,-86.778458
New Jersey Devils,New Jersey,Prudential centre,40.733511,-74.171058
New York Islanders,New York,Barclays centre,40.682624,-73.975334
New York Rangers,New York,Madison Square Garden,40.750478,-73.993455
Ottawa Senators,Ottawa,Canadian Tire Centre,45.296899,-75.927207
Philadelphia Flyers,Philadelphia,Wells Fargo Arena,39.900410,-75.171967
Pittsburgh Penguins,Pittsburgh,PPG Paints Arena,40.438823,-79.989706
San Jose Sharks,San Jose,SAP Center,37.332713,-121.901304
St. Louis Blues,St. Louis,Enterprise Center,38.626798,-90.202834
Tampa Bay Lightning,Tampa Bay,Amalie Arena,27.942695,-82.451804
Toronto Maple Leafs,Toronto Maple,Scotiabank Arena,43.643410,-79.379026
Vancouver Canucks,Vancouver,Rogers Arena,49.277821,-123.108833
Vegas Golden Knights,Vegas,T-Mobile Arena,36.102827,-115.178408
Washington Capitals,Washington,Capitol One Arena,38.898147,-77.021903
Winnipeg Jets,Winnipeg,Bells MTS Place,49.892590,-97.143754
